Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1781757,CUSHION,0.7,VS1,FANCY,EX,EX,GD,N,4.99-4.82×3.44,"2,026.14",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-87/
1615067,CUSHION,0.71,VS2,I,EX,EX,VG,N,5.25-4.84×3.27,"2,026.56",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-13/
1786420,CUSHION,0.55,VVS2,E,EX,EX,EX,N,4.71-4.49×3.05,"2,027.10",https://capitalwholesalediamonds.com/product/0-55-ct-cushion-11/
1642230,CUSHION,0.93,SI1,K,EX,EX,EX,N,6.01-5.18×3.50,"2,027.74",https://capitalwholesalediamonds.com/product/0-93-ct-cushion-4/
1634071,CUSHION,0.82,VVS2,J,EX,EX,VG,N,5.57-5.07×3.43,"2,030.12",https://capitalwholesalediamonds.com/product/0-82-ct-cushion-11/
1594979,CUSHION,0.8,VS2,J,EX,EX,VG,N,5.51-5.02×3.41,"2,030.73",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-140/
1775165,CUSHION,0.7,VS2,I,EX,EX,VG,N,5.65-4.64×3.12,"2,030.97",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-133/
1632735,CUSHION,0.7,SI2,D,EX,EX,VG,N,5.58-4.85×3.23,"2,032.09",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-78/
1794047,CUSHION,0.58,VS1,F,EX,EX,EX,N,5.15-4.47×3.02,"2,033.86",https://capitalwholesalediamonds.com/product/0-58-ct-cushion-3/
1612572,CUSHION,0.8,VVS2,J,EX,EX,VG,N,5.49-5.04×3.41,"2,038.84",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-122/
1650991,CUSHION,0.81,VVS2,J,EX,EX,EX,M,5.49-5.04×3.42,"2,040.50",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-39/
1606782,CUSHION,0.81,SI2,I,EX,EX,EX,N,5.43-5.14×3.46,"2,043.47",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-38/
1793039,CUSHION,0.7,SI2,H,VG,EX,VG,N,5.70-4.56×3.12,"2,043.89",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-131/
1631307,CUSHION,0.9,SI2,I,GD,EX,VG,N,5.46-5.21×3.72,"2,043.99",https://capitalwholesalediamonds.com/product/0-9-ct-cushion-78/
1795564,CUSHION,0.8,SI1,J,EX,EX,VG,F,5.26-5.16×3.48,"2,045.80",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-215/
1787762,CUSHION,0.71,SI1,I,EX,EX,EX,N,5.06-4.98×3.37,"2,047.93",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-34/
211020-413,CUSHION,1,SI2,K,EX,EX,VG,M,5.81-5.59×3.64,"2,049.90",https://capitalwholesalediamonds.com/product/1-ct-cushion-99/
1648834,CUSHION,0.7,SI2,E,VG,EX,VG,N,4.99-4.83×3.37,"2,053.78",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-26/
200771-265,CUSHION,1.01,SI2,L,EX,EX,EX,M,5.96-5.42×3.68,"2,053.79",https://capitalwholesalediamonds.com/product/1-01-ct-cushion-101/
1793044,CUSHION,0.65,SI1,D,EX,EX,VG,N,5.21-4.74×3.21,"2,053.86",https://capitalwholesalediamonds.com/product/0-65-ct-cushion-5/
1773464,CUSHION,0.81,SI2,J,VG,EX,EX,N,5.19-5.05×3.54,"2,056.10",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-76/
1626245,CUSHION,0.73,SI1,H,EX,EX,VG,N,5.36-4.88×3.32,"2,058.82",https://capitalwholesalediamonds.com/product/0-73-ct-cushion-6/
1652689,CUSHION,0.75,VS1,J,EX,VG,EX,F,5.33-5.15×3.41,"2,065.53",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-22/
1624958,CUSHION,0.72,SI2,F,EX,EX,EX,N,5.14-4.99×3.40,"2,066.33",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-17/
1779752,CUSHION,0.7,SI1,I,EX,EX,EX,N,5.24-4.86×3.30,"2,067.83",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-137/
1668180,CUSHION,0.83,VS2,K,EX,EX,VG,F,5.29-5.25×3.55,"2,067.92",https://capitalwholesalediamonds.com/product/0-83-ct-cushion-11/
1734201,CUSHION,0.75,SI1,G,EX,EX,EX,N,5.67-4.91×3.29,"2,074.78",https://capitalwholesalediamonds.com/product/0-75-ct-cushion-40/
1642237,CUSHION,0.8,VS2,J,VG,EX,GD,N,5.20-5.19×3.50,"2,076.37",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-133/
Eco Diamond LG180447,CUSHION,0.91,SI1,F,VG,EX,EX,N,5.62X5.47X3.71,"2,077.41",https://capitalwholesalediamonds.com/product/0-91-ct-cushion-26/
1631311,CUSHION,0.8,VVS2,J,VG,VG,VG,N,5.14-5.00×3.50,"2,079.00",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-119/
210362-196,CUSHION,1.01,VS1,FANCY,EX,EX,VG,N,5.57-5.47×3.71,"2,079.50",https://capitalwholesalediamonds.com/product/1-01-ct-cushion-112/
210041-562,CUSHION,1.2,SI2,N,EX,EX,EX,M,6.07-5.84×3.93,"2,080.30",https://capitalwholesalediamonds.com/product/1-2-ct-cushion-102/
1794061,CUSHION,0.61,VS2,G,EX,EX,VG,N,4.88-4.68×3.15,"2,082.28",https://capitalwholesalediamonds.com/product/0-61-ct-cushion-11/
1799595,CUSHION,0.71,SI2,I,EX,EX,EX,N,4.98-4.97×3.37,"2,088.89",https://capitalwholesalediamonds.com/product/0-71-ct-cushion-36/
1609757,CUSHION,0.92,VVS1,L,EX,EX,EX,N,5.77-5.24×3.54,"2,089.31",https://capitalwholesalediamonds.com/product/0-92-ct-cushion-6/
1636046,CUSHION,0.7,VVS2,I,EX,EX,EX,N,5.49-4.71×3.19,"2,090.03",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-55/
1664752,CUSHION,0.75,VVS1,FANCY,EX,EX,VG,M,5.58-4.84×3.27,"2,091.23",https://capitalwholesalediamonds.com/product/0-75-ct-cushion/
1790059,CUSHION,0.72,VS2,FANCY,EX,EX,VG,M,4.87-4.85×3.39,"2,092.63",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-35/
1720939,CUSHION,0.91,VS2,K,VG,EX,EX,F,5.58-5.20×3.63,"2,092.96",https://capitalwholesalediamonds.com/product/0-91-ct-cushion-38/
1593533,CUSHION,0.7,SI1,F,EX,VG,VG,N,5.22-4.78×3.24,"2,094.68",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-36/
1584401,CUSHION,0.72,SI1,H,EX,EX,VG,N,5.13-4.95×3.36,"2,094.93",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-20/
1645987,CUSHION,0.8,VS2,J,VG,EX,VG,F,5.34-5.05×3.53,"2,095.55",https://capitalwholesalediamonds.com/product/0-8-ct-cushion-129/
1654408,CUSHION,0.7,SI2,FANCY,EX,EX,GD,F,5.08-4.86×3.25,"2,095.89",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-7/
210433-154,CUSHION,1,SI1,L,VG,EX,VG,N,5.69-5.31×3.71,"2,096.38",https://capitalwholesalediamonds.com/product/1-ct-cushion-249/
211139-477,CUSHION,1,VS1,M,VG,EX,GD,F,5.56-5.49×3.85,"2,096.43",https://capitalwholesalediamonds.com/product/1-ct-cushion-252/
1626227,CUSHION,0.81,SI1,I,EX,EX,VG,F,5.54-5.08×3.45,"2,099.21",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-36/
1725991,CUSHION,0.81,SI1,I,EX,EX,VG,N,5.28-5.26×3.56,"2,105.47",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-74/
1794037,CUSHION,0.76,SI1,I,EX,EX,VG,N,5.37-5.06×3.43,"2,106.91",https://capitalwholesalediamonds.com/product/0-76-ct-cushion-15/
201204-106,CUSHION,1.11,VVS2,S-T,EX,EX,EX,ST,6.03-5.70×3.83,"2,107.75",https://capitalwholesalediamonds.com/product/1-11-ct-cushion-2/
1615061,CUSHION,0.81,SI2,D,EX,EX,VG,N,5.73-4.98×3.38,"2,111.99",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-62/
