,Depth,Height,Width,Weight,Clarity,Cut,Polish,Symmetry,Fluorescence,Colour,Shape,Price
4036,4.61,4.63,2.98,0.4,70,30,40,30,10,1,90,1526.59
4037,4.36,4.24,3.08,0.5,60,40,40,20,10,12,80,1824.49
4038,4.14,4.19,2.73,0.3,80,20,30,30,10,11,90,899.25
4039,4.01,4.74,2.81,0.3,40,40,40,20,10,12,10,848.6
4040,3.8,4.61,2.82,0.3,80,20,40,20,10,5,10,884.06
4041,4.97,3.23,2.06,0.32,70,40,30,20,10,1,30,1064.36
4042,5.19,4.79,3.25,0.7,50,40,40,30,10,12,60,1829.68
4043,6.08,4.2,2.48,0.4,60,40,40,30,10,3,70,1106.65
4044,6.41,4.53,2.71,0.5,50,40,40,30,10,4,70,1744.93
4045,7.16,4.28,2.66,0.5,90,40,40,30,20,4,50,1988.57
4046,5.97,4.42,2.81,0.5,50,30,40,20,20,11,70,863.67
4047,4.29,4.32,2.67,0.3,90,40,40,30,10,13,90,860.24
4048,4.05,4.74,2.62,0.3,50,30,40,30,10,12,10,882.52
4049,5.05,5.11,3.18,0.5,50,40,30,30,40,14,90,2028.27
4050,5.16,5.13,3.59,0.8,90,30,40,30,10,11,60,2135.66
4051,4.72,4.75,2.96,0.41,40,40,40,30,10,13,90,813.38
4052,4.24,4.76,2.72,0.31,60,30,30,20,40,1,10,973.51
4053,4.47,5,2.97,0.37,70,40,40,40,10,7,10,840.78
4054,5.02,5.07,3.14,0.5,40,30,30,20,10,5,90,1520.79
4055,5.14,5.17,3.22,0.53,70,40,40,40,20,11,90,2090.57
4056,5.14,5.18,3.15,0.51,90,40,40,40,10,6,90,1381.79
4057,6.26,4.22,2.45,0.51,100,40,40,20,20,2,70,2028.19
4058,4.16,4.21,2.69,0.3,60,20,20,20,10,3,90,932.2
4059,3.94,3.96,2.41,0.23,80,40,40,30,10,14,90,869.37
4060,5.23,4.83,3.28,0.7,40,40,40,30,10,3,60,1604.7
4061,6.15,4.42,2.78,0.5,80,40,40,30,20,4,70,1922.43
4062,4.83,4.89,3.23,0.5,60,20,40,30,10,14,90,2097.38
4063,4.23,4.29,2.66,0.3,50,30,40,30,10,5,90,821.71
4064,4.27,4.31,2.69,0.3,40,40,40,40,40,4,90,893.72
4065,5,5.04,3.22,0.5,60,30,40,30,10,5,90,2090.7
4066,3.93,3.96,2.39,0.23,70,40,40,40,10,1,90,915.2
4067,5.32,4.93,3.28,0.7,40,40,40,30,10,5,60,1976.51
4068,5.11,5.17,3.06,0.5,60,30,40,30,10,12,90,2470.85
4069,6.04,3.78,2.36,0.35,70,40,30,30,10,5,70,737.85
4070,3.96,4,2.4,0.23,70,40,40,40,10,1,90,935.79
4071,5.01,4.31,2.84,0.51,60,40,40,30,10,3,60,1586.1
4072,4.06,4.07,2.42,0.24,80,40,40,40,10,12,90,1040.04
4073,5.47,3.69,2.49,0.51,70,40,40,30,10,5,30,1660.55
4074,5.43,5.06,3.43,0.8,50,40,40,30,10,1,60,2851
4075,4.99,5.04,3.12,0.5,50,30,40,30,20,1,90,2080.06
4076,5.71,5.51,3.76,1.01,40,40,40,40,10,12,60,3645.57
4077,4.05,4.82,2.83,0.3,60,40,40,30,10,1,10,1136.53
4078,4.75,3.09,2.1,0.3,90,40,30,20,10,12,30,1030.06
4079,5.15,5.18,3.1,0.5,40,40,40,40,20,1,90,2061.87
4080,4.75,4.78,2.99,0.42,60,40,40,40,10,5,90,1492.9
4081,5.64,4.63,3.17,0.7,60,30,40,30,40,3,60,2112.72
4082,5.5,5.33,3.62,0.91,60,40,40,40,10,7,60,2482.02
4083,5.87,4.17,2.55,0.4,70,40,40,30,10,1,70,1320.33
4084,5.31,5.36,3.39,0.61,70,40,40,40,10,4,40,1217.97
4085,5.01,5.05,3.16,0.5,80,40,40,40,60,12,90,2350.94
4086,4.2,4.24,2.67,0.3,50,30,40,30,20,5,90,930.75
4087,4.63,3.31,2.26,0.34,80,40,40,30,10,7,30,755.16
4088,5.17,5.18,3.05,0.5,40,30,40,40,10,1,90,2098.28
4089,4.26,4.59,2.69,0.3,50,30,40,20,20,12,10,897.27
4090,3.71,3.73,2.35,0.2,80,40,40,40,10,1,90,862.56
4091,6.23,4.42,2.76,0.5,60,40,40,30,10,4,70,1957.05
4092,5.09,5.12,3.05,0.5,60,20,40,30,10,12,90,2048.36
4093,4.98,5.07,3.15,0.5,50,30,40,20,20,5,90,1530.31
4094,5.15,5.17,3.13,0.5,50,40,40,40,10,4,90,2452.64
4095,5.28,5.31,3.32,0.57,50,40,40,40,10,5,90,2060.62
4096,5.43,5,3.47,0.8,70,30,40,30,20,5,60,2216.11
4097,5.11,5.04,3.47,0.82,60,40,40,30,40,2,60,3001.51
4098,5.06,5.12,3.1,0.5,50,30,30,30,40,1,90,2105.76
4099,3.91,3.93,2.45,0.23,80,40,40,40,10,1,90,975.43
4100,4.56,4.48,3.13,0.5,60,30,40,10,10,5,80,1463.57
4101,3.88,3.91,2.42,0.23,50,20,20,10,10,3,90,703.36
4102,5.2,4.94,3.31,0.72,60,40,40,40,10,3,60,2442.08
4103,5.08,4.25,2.88,0.52,90,40,40,30,10,11,60,1349.52
4104,3.92,3.95,2.42,0.23,80,40,40,40,20,1,90,934.71
4105,4.56,4.61,2.97,0.4,50,30,40,30,10,7,90,920.8
4106,5.52,5.14,3.69,0.9,50,20,40,30,10,12,60,3211.78
4107,3.76,3.78,2.29,0.2,80,40,40,40,10,1,90,866.95
4108,4.22,4.55,2.45,0.3,60,20,40,20,10,14,10,961.64
4109,4.89,4.97,3.16,0.5,50,30,40,20,10,12,90,2054.33
4110,3.89,3.91,2.44,0.23,70,40,40,40,10,1,90,935.79
4111,5.25,3.55,2.27,0.32,40,40,30,20,40,2,70,962.08
4112,4.23,4.77,2.64,0.3,50,30,30,20,20,14,10,897.74
4113,5.26,4.96,3.37,0.75,40,40,40,30,10,14,60,1992.81
4114,3.99,4.01,2.44,0.24,70,40,40,40,10,4,90,934.6
4115,5.24,3.3,2.26,0.4,60,20,40,20,20,14,30,1143.79
4116,3.82,3.84,2.34,0.2,80,40,40,40,10,1,90,871.35
4117,4.42,4.44,2.57,0.3,50,30,20,20,10,1,90,929.75
4118,3.94,3.96,2.4,0.23,70,40,40,40,10,12,90,920.22
4119,4.8,4.89,3.23,0.5,60,20,40,20,20,11,90,1508.36
4120,3.89,4.59,2.68,0.3,60,30,40,20,10,14,10,1014.37
4121,4.33,4.32,3.08,0.5,40,40,30,20,20,14,80,1251.53
4122,4.35,4.3,3.11,0.51,80,40,40,30,10,1,80,1950.75
4123,4.66,4.48,3.03,0.53,90,40,40,40,10,5,60,1509.58
4124,3.89,3.91,2.41,0.23,70,40,40,40,10,1,90,935.79
4125,3.9,3.92,2.43,0.23,70,40,40,40,10,1,90,941.25
4126,10.18,6.39,3.79,1.5,70,30,40,40,10,12,50,7252.1
4127,3.89,3.92,2.44,0.23,100,40,40,40,10,14,90,900.42
4128,5.55,4.67,3.17,0.72,30,40,30,20,40,2,60,1054.14
4129,4.69,4.72,2.95,0.4,90,40,40,40,10,4,90,2020.7
4130,5.21,5.11,3.43,0.76,50,40,40,40,10,6,60,1148.68
4131,4.5,3.27,2.17,0.31,90,40,30,30,10,1,30,1135.48
4132,3.66,3.57,2.64,0.3,60,30,40,20,10,14,80,899.27
4133,5.24,3.54,2.27,0.42,80,40,40,20,10,5,30,1283.45
4134,5.15,5,3.33,0.73,40,40,40,30,10,4,60,2494.52
4135,4.67,3.31,2.15,0.32,80,30,40,20,10,4,30,1061.61
4136,4.11,4.66,2.64,0.3,70,30,30,20,40,4,10,971.75
4137,6.98,6.79,4.61,1.9,50,40,40,40,10,5,60,12627.71
4138,5.04,5.08,3.17,0.5,60,40,40,40,20,12,90,2568.5
