Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
200705-16,CUSHION,4.16,VVS1,FANCY,EX,EX,VG,N,9.93-8.33×5.67,"70,749.53"
NY180424-54,CUSHION,4,VS2,H,EX,EX,EX,N,9.21-8.61×5.84,"74,875.06"
201196-1,CUSHION,4.02,VS2,D,VG,EX,VG,M,9.63-8.38×5.83,"76,147.68"
202242-283,CUSHION,1.5,SI2,G,EX,EX,VG,N,6.52-6.25×4.24,"7,832.91"
210433-207,CUSHION,1.73,VVS2,FANCY,EX,VG,VG,M,6.66-6.39×4.44,"7,833.56"
200793-1241,CUSHION,1.51,SI2,I,EX,EX,EX,N,6.71-6.31×4.27,"7,834.67"
210310-91,CUSHION,1.32,SI1,H,EX,EX,EX,N,6.75-5.90×3.99,"7,848.41"
211141-288,CUSHION,1.5,SI2,F,EX,EX,VG,N,7.28-5.99×4.06,"7,878.44"
210214-162,CUSHION,1.02,IF,D,EX,EX,EX,ST,5.96-5.49×3.72,"7,891.49"
200648-10,CUSHION,1.72,SI2,FANCY,EX,EX,VG,F,6.51-6.51×4.41,"7,898.48"
201205-444,CUSHION,2.03,VVS2,FANCY,EX,EX,VG,M,6.97-6.94×4.65,"7,903.76"
Eco Diamond LG200815,CUSHION,1.84,VVS2,F,EX,EX,EX,N,7.00X6.79X4.52,"7,922.80"
Eco Diamond LG200817,CUSHION,1.7,VVS1,E,EX,EX,EX,N,7.04X6.82X4.51,"7,931.24"
201235-250,CUSHION,1.51,SI2,H,VG,EX,GD,N,6.67-6.35×4.37,"7,951.83"
211146-35,CUSHION,2,SI2,J,EX,VG,VG,N,8.25-6.60×4.43,"7,960.77"
211015-82,CUSHION,1.2,VS1,G,EX,EX,VG,N,6.53-5.65×3.84,"7,974.06"
201231-139,CUSHION,1.2,VS1,G,EX,EX,VG,N,6.06-5.86×3.98,"7,974.06"
