Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
1778742,PEAR,0.51,SI1,D,EX,EX,EX,M,6.85-4.48×2.79,"1,580.00"
1774568,PEAR,0.5,SI1,F,EX,VG,VG,F,7.29-4.32×2.71,"1,582.79"
1786688,PEAR,0.5,VS2,F,VG,GD,VG,M,6.67-4.42×2.74,"1,583.70"
1767096,PEAR,0.5,SI1,D,VG,VG,GD,N,6.57-4.43×2.74,"1,585.22"
1654366,PEAR,0.5,SI1,F,EX,EX,VG,N,7.18-4.32×2.69,"1,585.65"
1651739,PEAR,0.51,SI1,E,EX,EX,VG,F,6.86-4.46×2.80,"1,587.41"
1788130,PEAR,0.5,VS2,E,VG,EX,GD,M,6.50-4.38×2.75,"1,587.81"
1781668,PEAR,0.5,SI1,F,GD,EX,VG,N,7.25-4.22×2.74,"1,587.81"
1747203,PEAR,0.7,SI1,K,EX,VG,VG,F,7.61-4.91×3.05,"1,589.66"
1797495,PEAR,0.31,IF,D,EX,EX,GD,N,6.23-3.79×2.26,"1,589.72"
1791240,PEAR,0.5,SI1,E,VG,EX,GD,N,7.29-4.27×2.58,"1,590.39"
210470-272,PEAR,1.2,VS2,G,VG,EX,EX,N,8.74-5.89×3.75,"9,348.54"
210369-584,PEAR,1.51,SI2,H,GD,EX,GD,F,9.34-6.21×3.89,"9,350.66"
210394-8,PEAR,1.5,SI2,H,GD,EX,VG,N,9.22-6.04×4.06,"9,383.95"
210507-156,PEAR,1.5,SI2,G,EX,GD,GD,N,9.70-6.35×4.00,"9,393.72"
201241-87,PEAR,1.7,SI2,E,EX,EX,EX,N,10.11-6.51×4.05,"9,421.62"
200606-47,PEAR,2,SI2,F,VG,VG,VG,N,10.20-6.83×4.38,"9,433.00"
200793-1466,PEAR,1.81,SI2,G,EX,EX,EX,N,11.38-6.69×4.05,"9,504.07"
210414-830,PEAR,1.2,VVS2,H,EX,EX,EX,F,10.02-5.84×3.50,"9,518.21"
Eco Diamond LG200554,PEAR,2.1,VVS2,H,EX,EX,EX,N,11.01X7.04X4.51,"9,519.61"
200672-1235,PEAR,1.71,I1,F,EX,EX,VG,N,11.16-6.58×3.94,"9,527.47"
210329-31,PEAR,2.01,SI2,L,EX,VG,VG,M,11.32-6.76×4.23,"9,578.57"
210515-212,PEAR,1.2,VVS2,H,EX,EX,VG,N,9.25-5.98×3.76,"9,588.25"
210241-20,PEAR,2.22,VVS1,N,VG,EX,EX,M,10.69-7.17×4.59,"9,598.23"
211142-70,PEAR,1.51,SI1,J,EX,EX,VG,N,10.30-6.28×3.85,"9,640.53"
